name,role,location,party,bills,motions
tyler allsopp,"Parliamentary Assistant to the Minister of Long-Term Care Member, Standing Committee on Procedure and House Affairs Member, Standing Committee on Social Policy",Bay of Quinte,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
deepak anand,"Parliamentary Assistant to the Associate Minister of Small Business Member, Standing Committee on Finance and Economic Affai",Mississauga—Malton,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 88, Protecting Ontarians by Enhancing Gas Station Safety to Prevent Gas and Dash Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-88'], 'explanatory_notes': ['The Bill amends the Occupational Health and Safety Act to add a new section 53.2 requiring employers at gas stations to require customers to prepay for gasoline before pumping it from a gasoline pump that has prepayment technology (technology that can prevent a person from taking gasoline from the pump before paying for it).']}","{'motion_name': [], 'motion_href': []}"
jill andrew,"itic, Culture and Heritage Critic, Women's Social and Economic Opportunity Member, Standing Committee on Social Policy",Toronto—St. Paul's,New Democratic Party of Ontario,"{'bill_name': ['Bill 173, Intimate Partner Violence Epidemic Act, 2024', 'Bill 147, Protecting our Crowns (Training Requirements with respect to Black, Indigenous, Racialized, Natural and Textured Hair Types) Act, 2023', 'Bill 129, Rare Disease Strategy Act, 2023', 'Bill 94, Keeping 2SLGBTQI+ Communities Safe Act, 2023', ""Bill 86, Advisory Committee to Protect Ontario's People and Economy from Airborne Pandemics Act, 2023"", 'Bill 64, Chosen Family Day Act, 2023', 'Bill 61, Making Psychotherapy Services Tax-Free Act, 2023', 'Bill 48, Rent Control for All Tenants Act, 2022', 'Bill 42, Gender Affirming Health Care Advisory Committee Act, 2024', 'Bill 32, Black Mental Health Day Act, 2022', 'Bill 18, Consent Awareness Week Act, 2022', 'Bill 16, Racial Equity in the Education System Act, 2022', 'Bill 11, Speaking Out About, and Reporting On, Workplace Violence and Harassment Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-173', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-147', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-129', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-94', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-86', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-64', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-61', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-48', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-42', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-32', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-18', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-16', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-11'], 'explanatory_notes': ['The Bill enacts the Intimate Partner Violence Epidemic Act, 2024. The Act requires the Government of Ontario to recognize that intimate partner violence is an epidemic in Ontario.', 'The Bill enacts the Protecting our Crowns (Training Requirements with respect to Black, Indigenous, Racialized, Natural and Textured Hair Types) Act, 2023, which requires the Minister of Labour, Immigration, Training and Skills Development to update training requirements respecting Black, Indigenous, racialized, natural and textured hair types for hairstylists who work in the film and television industry and live entertainment industry.', 'The Bill amends the\xa0 Health Protection and Promotion Act to require that the Government of Ontario shall, as soon as is practicable, implement the recommendations set out in the Rare Diseases Working Group Report, dated March 10, 2017.', 'The Schedule enacts the 2SLGBTQI+ Community Safety Zones Act, 2023. The Act provides that the Attorney General may designate 2SLGBTQI+ community safety zones. The Act prohibits persons from performing an act of intimidation within 100 metres of the boundary of a property that is designated as a 2SLGBTQI+ community safety zone.', 'The Bill enacts the Advisory Committee to Protect Ontario’s People and Economy from Airborne Pandemics Act, 2023. The Act provides that the Standing Committee on Social Policy shall establish an Advisory Committee to Protect Ontario’s People and Economy from Airborne Pandemics. The Advisory Committee shall make recommendations to the Minister of Health and the Standing Committee on Social Policy to improve Ontario’s infrastructure, regulations and standards relating to indoor air quality in non-residential workplaces and public settings.', 'The Bill proclaims February 22 in each year as Chosen Family Day.', 'The Bill provides that the Minister of Health shall take all necessary steps, including introducing legislation if necessary, to ensure that the tax treatment of psychotherapy services provided in Ontario by psychotherapists, registered psychotherapists and registered mental health therapists within the meaning of the Psychotherapy Act, 2007 is the same as the tax treatment of those services provided by other practitioners.', 'The Bill amends the Residential Tenancies Act, 2006 by repealing section 6.1, which provides for certain exemptions from rules relating to rent.', 'The Bill enacts the Gender Affirming Health Care Advisory Committee Act, 2022. The Act provides that the Minister of Health shall, within 60 days of the Act coming into force, establish a Gender Affirming Health Care Advisory Committee. The Advisory Committee shall submit a report making recommendations to the Minister for improving access to and coverage for gender affirming health care. After receiving the Advisory Committee’s report, the Minister shall inform the Assembly of the measures that the Minister recommends the Government of Ontario implement.', 'The Bill proclaims the first Monday in March in each year as Black Mental Health Day.', 'The Bill proclaims the week beginning on the third Monday in September in each year as Consent Awareness Week.', 'Various Acts are amended with respect to racial equity. Here are some of the highlights.', 'The Bill amends the Occupational Health and Safety Act.']}","{'motion_name': ['Motion 149', 'Motion 146', 'Motion 138', 'Motion 143', 'Motion 140', 'Motion 139', 'Motion 141', 'Motion 142', 'Motion 133', 'Motion 53', 'Motion 12', 'Motion 10', 'Motion 11', 'Motion 13', 'Motion 9'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_1235E151-C3A6-EF11-B8E9-000D3A0C23B9', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_B91C905E-E6A5-EF11-B8E8-000D3AE860D8', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_FC522856-B79B-EF11-8A6A-000D3A0C23B9', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_F91A0BFF-B79B-EF11-8A6A-000D3A0C23B9', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_F5412AAC-B79B-EF11-8A6A-000D3A0C23B9', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_E2E0EE80-B79B-EF11-8A6A-000D3A0C23B9', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_711F37CB-B79B-EF11-8A6A-000D3A0C23B9', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_2A883CE5-B79B-EF11-8A6A-000D3A0C23B9', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_364C78A6-B090-EF11-8A6A-000D3A0C23B9', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_3D56F190-A0EE-ED11-8848-000D3AF4F44A', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_E9A92766-FB29-ED11-9DB2-002248D51D1B', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_D1913B87-F929-ED11-9DB2-002248D51D1B', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_89FD4738-FB29-ED11-9DB2-002248D51D1B', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_68CF727C-FB29-ED11-9DB2-002248D51D1B', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_0AAF6F51-F929-ED11-9DB2-002248D51D1B']}"
teresa j armstrong,"itic, Child Care Critic, Pensions Vice-Chair, Standing Committee on Heritage, Infrastructure and Cultural Policy",London—Fanshawe,New Democratic Party of Ontario,"{'bill_name': ['Bill 191, Childcare and Early Years Workforce Strategy Advisory Committee Act, 2024', 'Bill 140, Improving Air Quality for Our Children Act, 2023', 'Bill 87, Vital Statistics Amendment Act, 2023', 'Bill 80, Viewer Discretion Act (Images of Fetuses), 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-191', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-140', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-87', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-80'], 'explanatory_notes': ['The Bill enacts the Childcare and Early Years Workforce Strategy Advisory Committee Act, 2024, which establishes the Early Years Workforce Strategy Advisory Committee. The function of the Committee is to develop recommendations on how to support registered early childcare educators and the childcare and early years workforce with respect to certain matters. The Committee is required to provide its recommendations in an annual report to the Minister of Education, the Minister of Labour, Immigration, Training and Skills Development and the Minister of Colleges and Universities. The Minister of Education is required to meet with the Committee at certain times and to prepare a status report setting out any actions taken by the Government with respect the recommendations of the Committee.', '1 In this Act,', 'The Vital Statistics Act is amended. Here are some highlights:', 'The Bill provides that no one shall send a graphic image of a fetus by mail or otherwise distribute such an image unless the image is contained in an opaque envelope, the exterior of the envelope includes a description of the contents and the exterior of the envelope clearly identifies the sender. The penalty for violating this prohibition is a fine of $100 per image.']}","{'motion_name': ['Motion 34'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_8AB416F7-CAB6-ED11-B596-002248D5A587']}"
ted arnott,hair of the Board of Internal Economy Speak,Wellington—Halton Hills,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
aris babikian,"hair, Standing Committee on the Interi",Scarborough—Agincourt,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 183, Chinese Heritage Month Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-183'], 'explanatory_notes': ['The Bill proclaims the month of February in each year as Chinese Heritage Month.']}","{'motion_name': [], 'motion_href': []}"
robert bailey,"Parliamentary Assistant to the Minister of Colleges and Universities Parliamentary Assistant to the Minister of Infrastructure (Legislative Affairs) Member, Standing Committee on Procedure and House Affairs Member, Standing Committee on Social Policy",Sarnia—Lambton,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': ['Motion 48'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_C24192E3-1ED3-ED11-A7C6-000D3AF4F44A']}"
patrice barnes,"Parliamentary Assistant to the Minister of Labour, Immigration, Training and Skills Development Second Deputy Chair of the Committee of the Whole House Member, Standing Committee on Finance and Economic Affairs Member, Standing Committee on Procedure and House Affai",Ajax,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': ['Motion 113', 'Motion 6'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_2997F37B-FD1C-EF11-840A-002248B1AE9E', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_F857BBB6-9A28-ED11-9DB2-002248D51D1B']}"
doly begum,"itic, Immigration Services and International Credentials Deputy Leader, Official Oppositi",Scarborough Southwest,New Democratic Party of Ontario,"{'bill_name': ['Bill 226, Fixing Tribunals Ontario Backlogs Act, 2024', 'Bill 210, Stopping Illegal Handgun Smuggling Act, 2024', 'Bill 172, Affordable Energy Act, 2024', 'Bill 130, Oil, Gas and Salt Resources Amendment Act (Anti-Fracking), 2023', 'Bill 122, Ontario Consumer Watchdog Act, 2023', 'Bill 120, Liability for Climate-Related Harms Act, 2023', 'Bill 82, Enhancing Public Transit Accessibility Act, 2023', 'Bill 40, Moving Ontarians Safely Act, 2023', 'Bill 34, Pandemic Preparedness Act, 2022', 'Bill 12, Ending Automobile Insurance Discrimination in the Greater Toronto Area Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-226', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-210', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-172', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-130', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-122', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-120', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-82', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-40', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-34', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-12'], 'explanatory_notes': ['The Bill makes amendments to the Adjudicative Tribunals Accountability, Governance and Appointments Act, 2019, the Human Rights Code and the Residential Tenancies Act, 2006.', 'The Bill enacts the Stopping Illegal Handgun Smuggling Act, 2024. The Act requires the Minister to develop an illegal handgun litigation plan in consultation with specified communities and professionals. In developing the plan, the Minister is required to undertake research on various matters, including the entry of illegal handguns into Ontario and the grounds for bringing legal action against gun manufacturers that manufacture handguns in the United States of America. Depending on the results of the research, the Minister may be required to take steps to commence such legal action and, if the Minister considers it in the public interest to do so, to develop legislation.', 'The Bill enacts the Affordable Energy Act, 2024.', 'The Bill amends the Oil, Gas and Salt Resources Act to prohibit hydraulic fracturing and activities related to hydraulic fracturing for the purpose of the exploration for or production of oil or gas trapped in shale.', 'The Bill enacts the Ontario Consumer Watchdog Act, 2023. The Act requires the Minister, in consultation with relevant stakeholders and the public, to develop and implement a plan to establish an independent consumer watchdog organization that is responsible for overseeing consumer protection matters in Ontario. The Act provides that the plan shall include the steps the Minister intends to take to establish the organization, the powers and duties of the organization, the role of the organization in relation to other regulatory bodies and such other matters as the Minister considers advisable. The Minister must publish the plan on a Government of Ontario website as well as prepare and table a progress report on the plan in the Legislative Assembly.', 'The Bill enacts the Liability for Climate-Related Harms Act, 2023. The Act provides that a fossil fuel producer is strictly liable for climate-related harms that occur in Ontario if the producer is responsible for greenhouse gas emissions at a globally detectable level. The Act contains a definition of “climate-related harms”. Certain evidentiary matters are provided for.', 'The Bill amends the Ontarians with Disabilities Act, 2001 to provide that the Minister of Transportation and the Minister for Seniors and Accessibility shall jointly conduct a review of standards for public transportation organizations with respect to the accessibility of existing transit stations and stops. No more than 12 months after these amendments come into force, the Ministers shall submit a report on their findings to the Legislative Assembly.', 'The Bill amends the Highway Traffic Act. It is about the legal consequences of a collision that seriously injures or kills a pedestrian, a cyclist, a mobility device user, a roadway worker, an emergency responder outside their motor vehicle or another individual listed in the Bill.', 'The Bill amends the Health Protection and Promotion Act. The Bill enacts new section 77.0.1 which provides that cost-shared public health unit programs and services shall be funded at least 75 per cent by the Province of Ontario and no more than 25 per cent by municipalities. The Bill also enacts new section 95.1 which requires the Minister of Health to establish a Pandemic Preparedness Review Committee composed of public health and pandemic preparedness experts that will review the Province’s pandemic response plan every five years and report its findings to the Minister. The Minister shall inform the Legislative Assembly of the Review Committee’s findings and make recommendations for the Government of Ontario to implement.', 'The Bill amends the Insurance Act in order to prevent residents of the Greater Toronto Area from paying different rates for automobile insurance based solely on the municipality or area in which they reside in the Greater Toronto Area.']}","{'motion_name': [], 'motion_href': []}"
jessica bell,"itic, Housing",University—Rosedale,New Democratic Party of Ontario,"{'bill_name': ['Bill 202, Lower Fares, Better Service on the Union Pearson Express Act, 2024', 'Bill 191, Childcare and Early Years Workforce Strategy Advisory Committee Act, 2024', 'Bill 172, Affordable Energy Act, 2024', 'Bill 130, Oil, Gas and Salt Resources Amendment Act (Anti-Fracking), 2023', 'Bill 120, Liability for Climate-Related Harms Act, 2023', 'Bill 113, Mount Pleasant Public Cemeteries Act, 2023', 'Bill 83, Environmental Protection Amendment Act (Microfibre Filters for Washing Machines), 2023', 'Bill 58, Protecting Renters from Illegal Evictions Act, 2022', 'Bill 48, Rent Control for All Tenants Act, 2022', 'Bill 47, Protecting Human Rights in an Emergency Act (Emergency Power Generators), 2023', 'Bill 40, Moving Ontarians Safely Act, 2023', 'Bill Pr35, Winchester Design Build Inc. Act, 2023', 'Bill 25, Rent Stabilization Act, 2022', 'Bill 11, Speaking Out About, and Reporting On, Workplace Violence and Harassment Act, 2022', 'Bill Pr11, 2103890 Ontario Limited Act, 2023', 'Bill 8, Anti-Money Laundering in Housing Act, 2022', 'Bill Pr6, Nextblock Inc. Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-202', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-191', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-172', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-130', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-120', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-113', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-83', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-58', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-48', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-47', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-40', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr35', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-25', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-11', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr11', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-8', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr6'], 'explanatory_notes': ['The Bill amends the Metrolinx Act, 2006 to require the establishment of a committee to review the passenger transportation system between downtown Toronto and Toronto Pearson International Airport known as the Union Pearson Express. The Bill provides for the composition of the committee and the committee’s mandate, which is to make recommendations respecting a plan, a timeline and funding estimates to achieve certain goals for the Union Pearson Express as set out in the Bill.', 'The Bill enacts the Childcare and Early Years Workforce Strategy Advisory Committee Act, 2024, which establishes the Early Years Workforce Strategy Advisory Committee. The function of the Committee is to develop recommendations on how to support registered early childcare educators and the childcare and early years workforce with respect to certain matters. The Committee is required to provide its recommendations in an annual report to the Minister of Education, the Minister of Labour, Immigration, Training and Skills Development and the Minister of Colleges and Universities. The Minister of Education is required to meet with the Committee at certain times and to prepare a status report setting out any actions taken by the Government with respect the recommendations of the Committee.', 'The Bill enacts the Affordable Energy Act, 2024.', 'The Bill amends the Oil, Gas and Salt Resources Act to prohibit hydraulic fracturing and activities related to hydraulic fracturing for the purpose of the exploration for or production of oil or gas trapped in shale.', 'The Bill enacts the Liability for Climate-Related Harms Act, 2023. The Act provides that a fossil fuel producer is strictly liable for climate-related harms that occur in Ontario if the producer is responsible for greenhouse gas emissions at a globally detectable level. The Act contains a definition of “climate-related harms”. Certain evidentiary matters are provided for.', 'The Bill repeals a number of Acts and enacts the Mount Pleasant Public Cemeteries Act, 2023. In the new Act, the corporation incorporating a trust known as the Mount Pleasant Group of Cemeteries is continued as a corporation without share capital under the name Mount Pleasant Public Cemeteries. The Act sets out the composition of the Mount Pleasant Public Cemeteries Corporation and its objects and powers. The Act provides requirements related to the Corporation’s board of directors, by-laws and employees. Additionally, the Act sets out auditing and reporting requirements and provides for regulation-making authority.', 'The Bill amends the Environmental Protection Act to prohibit the sale or offering for sale of washing machines that are not equipped with a specified microfibre filter and to provide for corresponding penalties in case of non-compliance with the requirement.', 'The Bill makes various amendments respecting notices of termination of a tenancy under the Residential Tenancies Act, 2006 and related applications to the Landlord and Tenant Board (the “Board”) where the grounds for the notice relate to the personal occupation of the rental unit in question by the landlord, a family member of the landlord or a person who purchases the rental unit or residential complex containing the rental unit or to the repair, renovation or demolition of the unit or its conversion to a non-residential use. The following amendments are made to the Act:', 'The Bill amends the Residential Tenancies Act, 2006 by repealing section 6.1, which provides for certain exemptions from rules relating to rent.', 'The Bill enacts the Protecting Human Rights in an Emergency Act (Emergency Power Generators), 2022. The Act amends the Residential Tenancies Act, 2006 and the Condominium Act, 1998 to require landlords and corporations, respectively, to ensure buildings have emergency power generators.', 'The Bill amends the Highway Traffic Act. It is about the legal consequences of a collision that seriously injures or kills a pedestrian, a cyclist, a mobility device user, a roadway worker, an emergency responder outside their motor vehicle or another individual listed in the Bill.', '1 Winchester Design Build Inc. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', 'The Bill amends the Residential Tenancies Act, 2006 to do the following:', 'The Bill amends the Occupational Health and Safety Act.', '1 2103890 Ontario Limited is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', 'The Bill enacts the Anti-Money Laundering in Housing Act, 2022. The Act requires the Minister to develop and implement a land owner transparency plan which is a plan to establish a public registry of beneficial property owners. Section 3 of the Act sets out what is to be included in the plan. Section 4 of the Act requires the Minister to prepare a progress report and table the progress report in the Assembly.', '1 Nextblock Inc. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.']}","{'motion_name': ['Motion 93', 'Motion 78', 'Motion 61', 'Motion 60', 'Motion 35', 'Motion 30', 'Motion 29', 'Motion 27', 'Motion 25', 'Motion 26', 'Motion 3', 'Motion 7'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_71268EB6-65FB-EE11-9F89-6045BD61612F', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_CCC8FADE-4F94-EE11-BE37-6045BD5DE15D', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_8CFFF3E7-B25B-EE11-8DF0-000D3AF4FB27', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_B2B7F5C4-A104-EE11-8F6E-000D3AF4FB27', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_B98B6DE9-D2B6-ED11-B596-002248D5A587', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_8FB4B154-5D76-ED11-81AC-000D3AF41FC2', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_04C4BE30-5D76-ED11-81AC-000D3AF41FC2', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_16C01D33-A575-ED11-81AC-000D3AF41FC2', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_9B94566D-B374-ED11-81AC-000D3AF41FC2', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_4237C7AA-B374-ED11-81AC-000D3AF41FC2', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_F8A722D4-FA65-ED11-9562-002248D51D1B', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_010E2ECB-9A28-ED11-9DB2-002248D51D1B']}"
