_id,name,role,location,party
0,tyler allsopp,"Parliamentary Assistant to the Minister of Long-Term Care Member, Standing Committee on Procedure and House Affairs Member, Standing Committee on Social Policy",Bay of Quinte,Progressive Conservative Party of Ontario
1,deepak anand,"Parliamentary Assistant to the Associate Minister of Small Business Member, Standing Committee on Finance and Economic Affai",Mississauga—Malton,Progressive Conservative Party of Ontario
2,jill andrew,"itic, Culture and Heritage Critic, Women's Social and Economic Opportunity Member, Standing Committee on Social Policy",Toronto—St. Paul's,New Democratic Party of Ontario
3,teresa j armstrong,"itic, Child Care Critic, Pensions Vice-Chair, Standing Committee on Heritage, Infrastructure and Cultural Policy",London—Fanshawe,New Democratic Party of Ontario
4,ted arnott,hair of the Board of Internal Economy Speak,Wellington—Halton Hills,Progressive Conservative Party of Ontario
5,aris babikian,"hair, Standing Committee on the Interi",Scarborough—Agincourt,Progressive Conservative Party of Ontario
6,robert bailey,"Parliamentary Assistant to the Minister of Colleges and Universities Parliamentary Assistant to the Minister of Infrastructure (Legislative Affairs) Member, Standing Committee on Procedure and House Affairs Member, Standing Committee on Social Policy",Sarnia—Lambton,Progressive Conservative Party of Ontario
7,patrice barnes,"Parliamentary Assistant to the Minister of Labour, Immigration, Training and Skills Development Second Deputy Chair of the Committee of the Whole House Member, Standing Committee on Finance and Economic Affairs Member, Standing Committee on Procedure and House Affai",Ajax,Progressive Conservative Party of Ontario
8,doly begum,"itic, Immigration Services and International Credentials Deputy Leader, Official Oppositi",Scarborough Southwest,New Democratic Party of Ontario
9,jessica bell,"itic, Housing",University—Rosedale,New Democratic Party of Ontario
10,peter bethlenfalvy,Minister of Financ,Pickering—Uxbridge,Progressive Conservative Party of Ontario
11,stephen blais,,Orléans,Ontario Liberal Party
12,will bouma,"aucus Chair Parliamentary Assistant to the Minister of Indigenous Affairs and First Nations Economic Reconciliation Parliamentary Assistant to the Minister of Intergovernmental Affairs Parliamentary Assistant to the Minister of Northern Development Member, Standing Committee on Justice Policy",Brantford—Brant,Progressive Conservative Party of Ontario
13,guy bourgouin,"itic, Francophone Affairs Critic, Natural Resources and Forestry Vice-Chair, Standing Committee on the Interi",Mushkegowuk—James Bay,New Democratic Party of Ontario
14,stephanie bowman,,Don Valley West,Ontario Liberal Party
15,bobbi ann brady,,Haldimand—Norfolk,Independent
16,ric bresee,"Parliamentary Assistant to the Minister of Transportation Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Hastings—Lennox and Addington,Progressive Conservative Party of Ontario
17,jeff burch,"aucus Chair Critic, Municipal Affairs Member, Standing Committee on Procedure and House Affai",Niagara Centre,New Democratic Party of Ontario
18,rick byers,"Parliamentary Assistant to the President of the Treasury Board Member, Standing Committee on Public Acc",Bruce—Grey—Owen Sound,Progressive Conservative Party of Ontario
19,paul calandra,"mmissioner, Board of Internal Economy Minister of Municipal Affairs and Housing",Markham—Stouffville,Progressive Conservative Party of Ontario
20,raymond sung joon cho,Minister for Seniors and Accessibility,Scarborough North,Progressive Conservative Party of Ontario
21,stan cho,"Minister of Tourism, Culture and Gaming",Willowdale,Progressive Conservative Party of Ontario
22,aislinn clancy,"Member, Standing Committee on Social Policy",Kitchener Centre,Green Party of Ontario
23,steve clark,Government House Leader Parliamentary Assistant to the Premi,Leeds—Grenville—Thousand Islands and Rideau Lakes,Progressive Conservative Party of Ontario
24,lorne coe,"hair, Standing Committee on Justice Policy Parliamentary Assistant to the Premi",Whitby,Progressive Conservative Party of Ontario
25,lucille collard,"Third Deputy Chair of the Committee of the Whole House Member, Standing Committee on Public Acc",Ottawa—Vanier,Ontario Liberal Party
26,stephen crawford,Associate Minister of Mi,Oakville,Progressive Conservative Party of Ontario
27,rudy cuzzetto,"Parliamentary Assistant to the Minister of Energy and Electrification Member, Standing Committee on Public Accounts Member, Standing Committee on the Interi",Mississauga—Lakeshore,Progressive Conservative Party of Ontario
28,jess dixon,"Parliamentary Assistant to the Associate Minister of Women's Social and Economic Opportunity Member, Standing Committee on Justice Policy Member, Standing Committee on Public Acc",Kitchener South—Hespeler,Progressive Conservative Party of Ontario
29,andrew dowie,"Parliamentary Assistant to the Minister of the Environment, Conservation and Parks Member, Standing Committee on Government Agencies Member, Standing Committee on the Interi",Windsor—Tecumseh,Progressive Conservative Party of Ontario
30,doug downey,Attorney Genera,Barrie—Springwater—Oro-Medonte,Progressive Conservative Party of Ontario
31,jill dunlop,Minister of Educati,Simcoe North,Progressive Conservative Party of Ontario
32,victor fedeli,"hair of Cabinet Minister of Economic Development, Job Creation and Trad",Nipissing,Progressive Conservative Party of Ontario
33,catherine fife,"itic, Finance Critic, Treasury Board Vice-Chair, Standing Committee on Finance and Economic Affai",Waterloo,New Democratic Party of Ontario
34,rob flack,"Minister of Agriculture, Food and Agribusi",Elgin—Middlesex—London,Progressive Conservative Party of Ontario
35,doug ford,"Leader, Progressive Conservative Party of Ontario Minister of Intergovernmental Affairs Premi",Etobicoke North,Progressive Conservative Party of Ontario
36,michael d ford,Minister of Citizenship and Multiculturalism,York South—Weston,Progressive Conservative Party of Ontario
37,john fraser,,Ottawa South,Ontario Liberal Party
38,jennifer k french,"hair, Standing Committee on Procedure and House Affairs Critic, Highways Critic, Infrastructure Critic, Transportati",Oshawa,New Democratic Party of Ontario
39,dawn gallagher murphy,"Parliamentary Assistant to the Minister of Natural Resources Member, Standing Committee on Procedure and House Affairs Member, Standing Committee on the Interi",Newmarket—Aurora,Progressive Conservative Party of Ontario
40,wayne gates,"itic, Long-Term Care, Retirement Homes and Home Ca",Niagara Falls,New Democratic Party of Ontario
41,france gelinas,"itic, Health Vice-Chair, Standing Committee on Social Policy Member, Standing Committee on Public Acc",Nickel Belt,New Democratic Party of Ontario
42,goldie ghamari,,Carleton,Independent
43,chris glover,"itic, Democratic Reform Critic, Technology, Development and Innovation Member, Standing Committee on Government Agenci",Spadina—Fort York,New Democratic Party of Ontario
44,lisa gretzky,"itic, Mental Health and Addictions Critic, Poverty and Homelessness Reducti",Windsor West,New Democratic Party of Ontario
45,hardeep singh grewal,"Parliamentary Assistant to the Minister of Tourism, Culture and Gaming Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Brampton East,Progressive Conservative Party of Ontario
46,zee hamid,"Parliamentary Assistant to the Minister of Finance Member, Standing Committee on Finance and Economic Affairs Member, Standing Committee on Government Agenci",Milton,Progressive Conservative Party of Ontario
47,ernie hardeman,"hair, Standing Committee on Finance and Economic Affai",Oxford,Progressive Conservative Party of Ontario
48,joel harden,"itic, Transit and Active Transportation Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Ottawa Centre,New Democratic Party of Ontario
49,mike harris,Minister of Red Tape Reducti,Kitchener—Conestoga,Progressive Conservative Party of Ontario
